D08100100004-00001, LArASIC version P5B Production Part 1, 002-04839, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "Shanshan",  "2025/08/20",  "BNL",  "PASS",  "15:05,  "B002T0002", "RoomT QC Test",  "RT",  "Shanshan",  "2025/08/20",  "BNL",  "PASS",  "15:05,  "B002T0002"
D08100100004-00002, LArASIC version P5B Production Part 1, 002-04860, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "Shanshan",  "2025/08/20",  "BNL",  "PASS",  "15:11,  "B002T0002", "RoomT QC Test",  "RT",  "Shanshan",  "2025/08/20",  "BNL",  "PASS",  "15:11,  "B002T0002"
D08100100004-00003, LArASIC version P5B Production Part 1, 002-04889, Brookhaven National Laboratory, "RoomT QC Test",  "RT",  "sgao",  "2025/08/15",  "BNL",  "PASS",  "16:57,  "B002T0002"
D08100100004-00004, LArASIC version P5B Production Part 1, 002-04890, Brookhaven National Laboratory, "RoomT QC Test",  "RT",  "sgao",  "2025/08/15",  "BNL",  "PASS",  "16:58,  "B002T0002"
D08100100004-00005, LArASIC version P5B Production Part 1, 002-04891, Brookhaven National Laboratory, "RoomT QC Test",  "RT",  "sgao",  "2025/08/15",  "BNL",  "PASS",  "16:59,  "B002T0002"
D08100100004-00006, LArASIC version P5B Production Part 1, 002-04892, Brookhaven National Laboratory, "RoomT QC Test",  "RT",  "sgao",  "2025/08/15",  "BNL",  "PASS",  "17:00,  "B002T0002"
D08100100004-00007, LArASIC version P5B Production Part 1, 002-04897, Brookhaven National Laboratory, "RoomT QC Test",  "RT",  "sgao",  "2025/08/15",  "BNL",  "PASS",  "17:01,  "B002T0002"
D08100100004-00008, LArASIC version P5B Production Part 1, 002-04898, Brookhaven National Laboratory, "RoomT QC Test",  "RT",  "sgao",  "2025/08/15",  "BNL",  "PASS",  "17:02,  "B002T0002"
D08100100004-00009, LArASIC version P5B Production Part 1, 002-04899, Brookhaven National Laboratory, "RoomT QC Test",  "RT",  "sgao",  "2025/08/15",  "BNL",  "PASS",  "17:03,  "B002T0002"
D08100100004-00010, LArASIC version P5B Production Part 1, 002-04900, Brookhaven National Laboratory, "RoomT QC Test",  "RT",  "sgao",  "2025/08/15",  "BNL",  "PASS",  "17:04,  "B002T0002"
D08100100004-00011, LArASIC version P5B Production Part 1, 002-04905, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:13,  "B002T0002", "RoomT QC Test",  "RT",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:13,  "B002T0002"
D08100100004-00012, LArASIC version P5B Production Part 1, 002-04906, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:14,  "B002T0002", "RoomT QC Test",  "RT",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:14,  "B002T0002"
D08100100004-00013, LArASIC version P5B Production Part 1, 002-04907, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:14,  "B002T0002", "RoomT QC Test",  "RT",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:14,  "B002T0002"
D08100100004-00014, LArASIC version P5B Production Part 1, 002-04908, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:15,  "B002T0002", "RoomT QC Test",  "RT",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:15,  "B002T0002"
D08100100004-00015, LArASIC version P5B Production Part 1, 002-04913, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:16,  "B002T0002", "RoomT QC Test",  "RT",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:16,  "B002T0002"
D08100100004-00016, LArASIC version P5B Production Part 1, 002-04914, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:17,  "B002T0002", "RoomT QC Test",  "RT",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:17,  "B002T0002"
D08100100004-00017, LArASIC version P5B Production Part 1, 002-04915, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:18,  "B002T0002", "RoomT QC Test",  "RT",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:18,  "B002T0002"
D08100100004-00018, LArASIC version P5B Production Part 1, 002-04885, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:19,  "B002T0002", "RoomT QC Test",  "RT",  "shanshan",  "2025/08/18",  "BNL",  "PASS",  "12:19,  "B002T0002"
D08100100004-00019, LArASIC version P5B Production Part 1, 002-04866, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "Shanshan",  "2025/08/19",  "BNL",  "PASS",  "12:18,  "B002T0002", "RoomT QC Test",  "RT",  "Shanshan",  "2025/08/19",  "BNL",  "PASS",  "12:18,  "B002T0002"
D08100100004-00020, LArASIC version P5B Production Part 1, 002-04867, Brookhaven National Laboratory, "CryoT QC Test",  "LN",  "Shanshan",  "2025/08/19",  "BNL",  "PASS",  "12:19,  "B002T0002", "RoomT QC Test",  "RT",  "Shanshan",  "2025/08/19",  "BNL",  "PASS",  "12:19,  "B002T0002"
